name,text,price,label
17. Tom Kha Soup,"Spicy coconut soup with mushroom, galanga, lemon grass, lime juice, chili paste and fresh chili.",0,0
Catering Cap's Creation Salad,,28.99,0
Lay'sÂ® Classic Chips,,1.59,0
Huevos Rancheros Dos,Toast not included.,13.75,1
Chips and Salsa,Nacho chips and salsa.,1.69,0
Bottled Drinks,,2,0
Apple Juice,,2,0
Double DeckerÂ® Taco SupremeÂ®,"A warm flour tortilla layered with refried beans wrapped around a crunchy taco filled with seasoned beef, cool sour cream, crispy lettuce, shredded cheddar cheese and ripe tomatoes.",2.19,1
16 oz. Soda,,1.45,0
Premium Hot Coffee,Rainforest alliance certifiedâ¢ coffee.,1.69,0
SOURDOUGH KINGâ¢ Meal,"SOURDOUGH KINGâ¢ burger features more than 1/2 lbs.* of savory flame-grilled 100% beef, melted American cheese, thick cut bacon, freshly sliced onions & our creamy signature sauce all on a soft sourdough bun. Meal comes in medium and large sizes. Your choice of a side of piping hot, thick cut French Fries or golden Onion Rings and a fountain drink of your choice to make it a meal.",0,1
Honey BBQ Sauce,,0,0
10 Boneless Wings,,7.99,0
Avocado Pops,"4 pieces of avocado wedges, deep fried in tempura batter with side of sweet chili sauce.",5.95,0
Diet Coke,12 oz.,2,0
80. Seltzer Original,1 liter.,3,0
"14"" Large 1 Topping Pizza and 10 Wings Special",,19.99,0
Mozzarella Cheese Sticks,Golden fried with a side of dipping sauce.,6.89,0
Broccoli Beef Lunch Special,"Served with white, brown or fried rice.",6.99,1
Jarritos,,2.5,0
Tomato Juice,,0,0
Side Green Salad,,3.95,0
Israeli Pickles and Olives,,4.95,0
6 Pack of Soda,,6,0
Mozzarella Sticks,Deep-fried cheese sticks with cocktail sauce.,8.99,0
Crab Cheese Puff,,4.5,0
Famous BowlÂ® Fill Up,A Famous BowlÂ® with a cookie and your choice of a medium drink,5,0
13. Egg Drop Soup,,0,0
Broccoli,,4,0
Bottled Water,,2,0
Chocolate Chip Cookie,,1.39,0
Salmon Skin Roll,,0,0
Cheese and Fruit Plate,Select cheeses and fruits served with flatbread crisps.,9,0
Caramel Fudge Cheesecake,,5.99,0
8 Piece Chocolate Chip Cookie,"Freshly baked 8"" chocolate chip cookie.",5.99,0
Double Chicken Chopped Salad,"Oven roasted to perfection and piled high with your favorite toppings from spicy jalapenos to crisp green peppers. With all this juicy flavor, your taste buds won't believe it's low-fat.",7.5,0
Special Lunch 3,"1 enchilada, 1 taco, rice and beans.",6.59,1
Party Pack #1,"Two 30"" jumbo cheese pizzas.",49.95,0
Bottled 20 oz. Drink,,2.39,0
20 oz. Dole Orange,,1.99,0
Tuna Sandwich,"Our tasty tuna sandwich is simply sumptuous. Flaked tuna, mixed with mayo, and your choice of veggies, this local favorite can be build to suit your craving.",0,1
The Enforcer Panini,"Smoked turkey, cheddar cheese, bacon, tomato and kick'n bayou sauce, pressed on herb focaccia bread.",9.5,1
Cheese Fries,,3.69,0
B5. Beef Larb Salad,"Chicken, onion and roasted rice powder in spicy homemade sauce. Spicy.",5.95,0
5. Hot Tea,,2.25,0
Coleslaw,,5,0
French Bread Pizza,"Sauce, cheese, pepperoni, baked open face on a roll.",6.95,0
Coffee Cuban,,3.5,0
Brownie,Gooey double chocolate chip brownies.,2.3,0
Fountain Pop,,2.5,0
Dolma Family Style,Grape leaves stuffed with rice and olive oil herbs.,4.5,0
Key Lime Pie,Sweet condensed milk blend with key lime juices on a graham cracker crust.,2.59,0
Roasted Spiced Carrots,,8,0
57. Grilled Chicken Salad,,7.99,0
Regular Hand Breaded Calamari,Thinly cut and lightly fried. Served with spicy marinara sauce.,9.99,0
Tea,,2.9,0
26. Washington Roll,"Crab meat, cucumber and avocado inside with salmon on top.",8.9,0
Hurricane Smoothie,"Cantaloupe, pineapple, orange and honey.",0,0
Pasta E Fagioli,"White and Red Beans, Ground Beef, Tomatoes and Pasta in a Savory Broth.",4.95,0
Soft Shell Crab Tempura,Deep fried in light batter and served with ponzu sauce.,14.38,0
Factory Cheesy Fries,"Our very own crisscut fries, coated with a special batter of spices and seasoning and topped with the very best cheddar cheese sauce.",5.95,0
Malta,,2.25,0
Diet Coke (12oz Can),,1.5,0
Pulled Pork a la Carte,,0,0
Greek Salad,"Iceberg, green pepper, feta cheese, onions, olives, and Greek dressing.",6.95,0
Side Ranch,,0.99,0
Cup of Seafood Gumbo Soup,Medium dark roux with okra.,4.99,0
Coca Cola,None,0,0
Cinnamon Pretzel Nugz,"Scratch-made soft pretzels, cinnamon-maple sugar, and cinnamon glaze.",6.99,0
Almond Milk,Vegetarian.,10.5,0
OJ,,2,0
Daily Muffin,May contain nuts,3.5,0
Tzatziki Side,,1.25,0
1 Chocolate Chip Cookie,,0.79,0
Grilled Chicken Quesadilla,"Filled with pico de gallo and melted cheese. Served with chips, salsa and sour cream.",7.29,0
Grilled Chicken Caesar Salad,,7.95,0
Guacamole,,0,0
Fried Plantains,"Deep fried plantain served with vanilla ice cream, topped with chocolate, and condensed milk drizzle.",7.99,0
6891. Monkey Brain,Lightly fried mushrooms stuffed with spicy tuna and crab meat.,9.95,0
86. Dry Pot Chicken Giblets,Hot and spicy.,15.95,0
Satae Tofu,Grilled marinated tofu on skewer with peanut sauce.,5.95,0
Cheese and Chips,Shredded Cheese melted on Fresh Cut Chips,6.85,0
A-4. Larb,"Ground meat, chicken or pork with fresh mint, dry chili and lime juice. Hot and spicy.",8.95,0
Veggie DeliteÂ® Chopped Salad,"Crispy, crunchy and classically delicious. Try a delicious combination of lettuce, tomatoes, green peppers, black olives, spinach and onions with your choice of dressing.",6.59,0
5. Salt and Pepper Chicken Wings,"Eight pieces. Crispy chicken wings wok tossed with garlic, jalapenos, salt and pepper.",5.95,0
Butter Chicken,,8.99,1
Sauteed Mushrooms,Sauteed and served in a skillet.,7.99,0
Greek Salad,"Lettuce, tomatoes, onions, Greek olives, cucumbers, feta cheese and Greek dressing.",8,0
S7. Tom Yum Chicken Soup,"Thai hot and sour soup with chicken, mushrooms, onions, tomato, lemongrass, galangal, and kaffir leaves garnished with cilantro, and scallions.",0,0
3. Steamed Dumplings,9  piece.,5.5,0
Sprite 20 oz. Bottle,,1.49,0
Lemon Pickle,,1.99,0
Honey dew milk tea Large,,3.5,0
Turkey Breast Chopped Salad,Get flavor without the flab when you try this American classic. Dive into tender turkey breast piled sky high with crisp veggies.,7.69,0
Pellegrino Glass Sparkling Water,750 mL.,8,0
Roast Beef Kid's Meal,"Lean, delicious roast beef and fresh, crisp veggies make this sandwich an ideal choice for kids. A side of applesauce and a bottle of ice cold low-fat milk or Honest Kids gives kids a better-for-you meal theyâre sure to love. Subway Fresh Fit for KidsÂ® meals are prepared in front of you and are not a diet program.",5.74,0
Medium Hot Tea,Price includes sales tax on drinks.,1.29,0
San Pellegrino,,5,0
Babaganoush,Grilled eggplant mixed with mayo with a hint of garlic spread.,7,0
ARCHIVED - Sweet Potato Fries and Dips,"Sriracha chile-lime, BBQ bacon ranch, and maple flavored cream cheese sauce.",5.99,0
New York Style Cheesecake,,3.69,0
Garlic Knots,,2.95,0
Deep Fried Shrimp Roll (10 pieces),"Avocado, cucumber, masago, spicy mayo and eel sauce.",13.75,0
French Fries,,4.5,0
Chocolate Milk,Velvety Low Fat Chocolate Milk delivers wholesome sweetness and is packed with Calcium.,1.49,0
Ramune,Citrus flavored soda.,3.45,0
Strawberry  fanta,Bottle  20oz,2.5,0
Y-6 Seafood Salad,"Shrimp, scallops, squids, mussels, onions, scallion and ginger seasoned with spicy lime dressing.",12.95,0
Rotini Salad,"Sliced chicken, fresh mozzarella, tomato, red and green onion, broccoli, cucumber, and olives over rotini pasta.",9.95,0
Tom Kha Soup,"A choice of chicken, shrimp or tofu in coconut milk soup with Thai herbs, lime juice, tomato, mushroom, cilantro and scallion.",3.95,0
Mango Lassi,Yogurt drink sweetened with mango.,3.4,0
Martinelli,10 oz Apple Juice,2.75,0
Rice Pudding,Rice mixed with milk and flavored with cinnamon.,4,0
Nacho Fries,"Crispy, boldly seasoned fries served with warm nacho cheese dip.",1.29,0
Slice of Ham,,3.39,0
Honey Sauce,,0,0
Spring Water,,1.25,0
Cappuccino,,3.25,0
Soda,,2.5,0
Braised Bean Curd,,9.25,0
Kabob Skewers,,3.39,0
Minute MaidÂ® Orange Juice,,1.49,0
Mango Juice,,2.5,0
BKÂ® Joe Coffee,Our BKÂ® Joe blend is made with 100% Arabica beans and freshly brewed to deliver perfectly balanced flavor in every cup.,0,0
Buche Burrito,Pork maws.,5.99,1
Georgia Gold Tenders Combo,"3 pc. or 5 pc. Tenders with Georgia Gold Honey Mustard BBQ, a side of your choice, a biscuit, and a medium drink",0,0
S2. Wonton Soup (32 oz),"Chicken broth with chicken, shrimp, chicken wonton, cabbage, broccoli, carrots, celery, baby corn, and Italian squash. Topped with cilantro and green onion.",13.99,0
Soup Of The Day,"We like to mix it up, ask your server about our homemade soup of the day.",0,0
Root Beer Float,,3.59,0
Fried Calamari (lunch),"Served with banana peppers, lemon aioli, crispy basil, and marinara sauce.",16,0
Rold Gold Thin Pretzels,,1.89,0
Tuna Salad,,7.5,0
Grilled Chicken Salad,,7.99,0
Strawberry Lemonade,,3.09,0
Extra Yogurt Sauce,,2,0
010998. Super Garden Salad,"Kale, romaine lettuce, red onions, roasted red pepper, cucumber, mozzarella cheese, quinoa, edamame and lemon vinaigrette.",9.99,0
75. Alaska Roll,"Salmon, avocado and cucumber.",6,1
33. 4 Chicken Sticks,,4.95,0
Hummus,"Mashed chickpeas blended with tahini. A puree of garlic and lemon juice, topped with olive oil and spices, served with pita bread.",4.99,0
Fries,,0,0
Green Iced Tea,,2,0
6 pc. Filet Family Fill Up,"6 Extra Crispyâ¢ Filets, 2 Large Mashed Potatoes and Gravy, a Large Cole Slaw, and 4 biscuits.",20,0
Turkey Breast Chopped Salad,Get flavor without the flab when you try this American classic. Dive into tender turkey breast piled sky high with crisp veggies.,7.49,0
Large Beverage,Select an ice-cold beverage,2.19,0
Chocolate Fudge Sundae,"Cool and creamy with a chocolate fudge swirl, our prepared-to-order Chocolate Fudge Sundae is complemented by our velvety Vanilla Soft Serve.",1.19,0
House Vegetarian Chipotle Chili Soup,Served with French bread.,0,0
Hot Chocolate,,2.59,0
Cheesecake With Fresh Strawberries,,6.99,0
Broccoli,,4,0
14. Combination Tray (For 1),"Egg roll, fried shrimp, ribs, chicken wings and satay beef.",4.95,0
Wasabi Tobiko,,3,0
Japanese Soda,,2.5,0
Cheese Fries,,2.99,0
Edamame,,0,0
Crispy Onion Straws Dinner,"Thinly sliced onions, dusted and fried and seasoned to perfection. Served with spicy chipotle sauce for dipping. Serves 2.",6.65,0
Ice Cream,,2.5,0
Mongolian Beef Lunch Special,Includes soup of the day and steamed rice. Hot and spicy. No msg.,6.95,1
X2 Energy Lime,,3.59,0
Garden Salad with a Scoop of Harvest Chicken Salad,"Cheddar-jack, tomatoes, cucumbers and croutons. Contains pecans. Dressing served on the side.",8.79,0
Lunch Promenade House Salad,"Crispy romaine lettuce, mixed greens, carrots and tomatoes served with our homemade vinaigrette dressing.",15,0
French Fries,,3,0
Chocolate Mousse Cake,,3.95,0
Cinnabon DelightsÂ® 12 Pack,"Warm donut holes filled with CinnabonÂ® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",4.99,0
Miso Soup,,2.45,0
Flour Tortillas,,1.95,0
Raspberry Brownie,,3.99,0
6 Mozzarella Sticks,,4.5,0
Cacik,"Homemade yogurt mixed with chopped cucumber, a touch of garlic, fresh dill and olive oil.",6.5,0
White Rice,,2.75,0
Double Bacon Breakfast SOURDOUGH KINGâ¢ Meal,"Introducing theÂ Smoked Double BaconÂ Breakfast SOURDOUGH KINGâ¢ made with double the portion of thick cut naturally smoked bacon, two helpings of melted American cheese and piled high with two fluffy eggs; all on our sourdough bun. Meal comes in medium and large sizes. Your choice of Hash Browns and a Drink.*Based on pre-cooked patty weight.",0,0
Ham Breakfast,,4,0
Swiss Chicken Plate,With potato and vegetable.,10,1
Seafood Morechiara,Served with pasta and a side salad.,22.95,1
Scoop of Ice Cream,,1.79,0
Traditional Guacamole,Housemade guacamole.,8,0
Carrots,,2.39,0
Can Coke,,1.36,0
Rice Pudding,,4.99,0
20 Oz Pepsi,,2.24,0
Quinoa Salad,"Organic red quinoa, roasted sweet corn, heirloom tomatoes, avocado, feta cheese and mojito vinaigrette.",18,0
Oreo Ice Cream Sundae,,6,0
Close Talker Salad,"Served with chopped romaine lettuce, beans, pico de gallo, shredded cheese, with your choice of dressing.",0,0
Pasta Bolognese,Served with penne and house bread.,11.99,1
2 Pastelillos,Served in style of choice.,8.95,0
Blackened Beef Tips,Filet of beef blackened seasoning served with Dijon mustard sauce.,13,0
Can of Soda,,1.5,0
2 Breakfast Burrito Jr. Meal,Meal comes in medium and large sizes. Your choice of Hash Browns and a Drink.,0,0
Variety Taco Party Pack,"Your choice of 12 of the following tacos: Crunchy or Soft Tacos, Fiery DoritosÂ® Locos Tacos, Cool Ranch DoritosÂ® Locos Tacos, or Nacho Cheese DoritosÂ® Locos Tacos.",18.99,0
Chocolate Shake,,0,0
Zeppoles,,0,0
Olympia Salad,"Mixed greens with sun-dried tomatoes, kalamata olives, cucumber and onions. Served with manouri goat cheese and Greek vinaigrette. Vegetarian dish. Gluten free ingredients.",12,0
NY Cheesecake,,4,0
Greek Quinoa,,3.25,0
Roasted Pork Noodle Soup,1 quart.,8.95,0
2. Brown Rice Lunch,,3,0
3. 2 Spring Roll,,2.55,0
Fountain Drink,,0,0
Frozen CokeÂ®,"Cool down with a Frozen CokeÂ® any time of the year.*Nutrition information reflects Medium Size Cup.Â© The Coca-Cola Company. Coke"" is a registered trademark of The Coca-Cola Company.""",0,0
3 pc. Drum & Thigh Waffle Basket,"A drumstick & 2 thighs, available in Original RecipeÂ®, Extra Crispyâ¢, or Kentucky GrilledÂ®, and 2 Belgian style waffles with 2 sides of Mrs. Butterworth'sÂ® syrup.",7.99,0
Soda,,0,0
Fruit Cup,,2.75,0
Tiramisu,,4.5,0
Bacon Cheese Fries,,5.99,0
Mandarin Chicken Salad,"Mixed greens, red onion, bleu cheese crumbles, candied walnuts, Mandarin oranges, grilled chicken, and soy mustard vinaigrette.",10,0
Freshly Brewed Iced Tea,,3.29,0
Coke,,1.5,0
Creamy Polenta,,6,0
Side of Brown Rice,A 6 oz. portion.,2.5,0
Applesauce,,1.99,0
Cinnabon DelightsÂ® 12 Pack,"Warm donut holes filled with CinnabonÂ® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",5.19,0
Ratatouille Provencale,,8,0
Sweet Potato Fries,,7.25,0
Pepsi,,2.95,0
SH9. Sesame Chicken,With white rice.,9.89,0
Grilled Chicken Wrap,,9.95,1
Bean Curd Vegetables,Plain tofu sauteed in white sauce with vegetable.,12.95,0
G2 Grape,,1.89,0
Canitas Dinner,"Fried pork served with rice, beans, lettuce, pico de gallo and guacamole.",13.99,0
Sodas Mexicanas,,2.5,0
Nantucket Nectar,,2.25,0
Milk,,2,0
Nachos Supreme,"Crispy tortilla chips topped with warm nacho cheese sauce, refried beans, seasoned beef, ripe tomatoes and cool sour cream.",2.99,0
New! Premium Chicken Tenders Appetizer,Premium golden-fried chicken tenderloins with choice of dipping sauce.,7.99,0
Mast o Mousir Lunch,,4.95,0
SA1. Seaweed Salad,Gluten free dish. Assorted seaweed mixed with sesame oil.,4,0
20 oz. Soda,,1.84,0
Lamb Sausage Breakfast,,0.99,0
Greek Salad,"Combination of bell pepper, tomato, cucumber, and red onion, topped with feta cheese and olives.",0,0
Crispy Club Salad,"Romaine lettuce, crispy chicken cutlet, mozzarella cheese, bacon, tomato and cucumber served with creamy avocado dressing. No substitutions please. Items come as is.",11.99,0
S6. Thai Salad,"Lettuce, carrot, tomato, cucumber, romaine, bean curd and with homemade peanut sauce.",5.99,0
Chips,,1.25,0
Homemade Meatballs,Two meatballs.,1.99,0
Chips and Nacho Cheese Sauce,Nacho chips with a side of warm nacho cheese sauce for dipping.,1.79,0
Peach tea,,1,0
Triple Chocolate MeltdownÂ®,"Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream.",6.99,0
Healthy Chopped Salad,"Chopped iceberg lettuce, all-natural grilled chicken breast, tomatoes, black olives, mozzarella and fresh basil, tossed with our low-cal Italian vinaigrette. Served with an Oggi's garlic knot. Healthy.",0,0
Sour Cream,,2.19,0
Soda,,1.83,0
Berry Crazy,"A Juicy combination of Raspberries, Strawberries, Blackberries and Blueberries.",5,0
Bottled Water,16.9 oz.,2.09,0
Steak Fries,,2.99,0
Iced Coffee,,0,0
Sambar,,4,0
Jumbo Dog,"Neon relish, onions, tomato, pickle spear, mustard and sprinkled with celery salt.",4.75,1
SP4. Roasted Duck Curry,"NO MODIFICATIONS

Duck in red curry with pineapple, tomatoes, bell peppers and Thai basil leaves. Served with rice.",16,0
Grits with bacon,,4,0
1 Quart Cassoulet,"1 quart, frozen",14,0
Chicken Caesar Wrap,"Grilled sliced chicken breast with lettuce, grated cheese and creamy Caesar dressing.",6.75,1
Can Soda,,1.5,0
Vanilla Ice Cream,,2.99,0
Lunch Smoked Mozzarella Fonduta,"Oven-baked smoked mozzarella, provolone, Parmesan and romano cheese. Served with Tuscan bread.",8.29,0
French Fries,,0,0
Greek Salad,,7.99,0
Brownie,,2.95,0
Kid's Cheeseburger,Served with French fries.,8.25,1
Pizza Margherita,"With fresh basil, sliced tomato, mozzarella cheese, and marinara sauce.",15,0
Basbousa,Semolina cake baked with yogurt and honey and topped with sliced almonds.,3.5,0
Chunky Chicken Salad Sandwich,"Chicken breast, celery, roasted peppers, mayo, lettuce, tomato, on multi-grain bread. Served with choice side.",10.4,1
Can Soda,,1.95,0
Belgian Chocolate Souffle Cake,Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce. Vegetarian.,6.99,0
Coffee,,1.5,0
Slice of Sweet Potato Pie,,2.65,0
Mixed Vegetable Soup,Vegetarian.,8.5,0
SP3. Hot and Sour Soup,Spicy.,0,0
Fried Calamari,Served on a bed of lettuce with cocktail sauce.,7,0
Cinnabon DelightsÂ® 2 Pack,"Warm donut holes filled with CinnabonÂ® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",1,0
Eel Sauce,4 oz.,1,0
Cinnabon DelightsÂ® 12 Pack,"Warm donut holes filled with CinnabonÂ® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",4.99,0
Garden Side Salad,"Our Garden Side Salad is a blend of premium lettuces garnished with juicy tomatoes, home-style croutons, a three-cheese medley, and your choice of KENâSÂ® salad dressing.",1.99,0
Kimchi Fries,Topped with kimchi and served with gojuchang aioli.,8.5,0
Ralphs Famous Wings,Marinated wings topped with blue cheese crumbles and crispy bacon. Served with carrots and celery.,12.09,0
Black Forest Ham Chopped Salad,The Black Forest Ham has never been better. Load it up with all the crunchy veggies you like.,7.19,0
Caramel Sundae,"Cool and creamy with a caramel swirl, our prepared-to-order Caramel Sundae is complemented by our velvety Vanilla Soft Serve.",1.79,0
Fried Tofu,Ground peanut and chili garlic dipping sauce.,4.95,0
Tex-Mex Nachos,"Nacho chips, pinto beans, scallions, plum tomatoes, Monterey Jack cheese, salsa, pico de gallo, sour cream and guacamole.",10,0
Agedashi Tofu,"Deep fried tofu served in tempura sauce, garnished with shredded carrots and chives.",6.99,0
Corn on the Cob,,1.49,0
Sauteed Asparagus,,5,0
Combo Appetizers,"2 egg rolls, 2 crab rangoon, 2 pot stickers, and 2 fried shrimp.",7.5,0
Homemade Lemonade,,0,0
Shakin' Bacon Cheese Fries,"Our Memphis fries smothered in cheddar and jack cheeses, topped with chopped bacon, then coated with our Memphis dry rub seasoning. Served with ranch dressing.",8.25,0
G2 GatoradeÂ® Fruit Punch,,1.89,0
Kids Noodles & Marinara Sauce,"Served with your choice of fresh fruit or freshly baked cookie and milk, 12 oz soft drink, or kid's juice.",4.69,1
Full Tray Sausage Medley,,59.99,0
Iced Tea,,1.89,0
Lemon Cello Mascapone Cake,,5.19,0
Salad and Croutons,"Lettuce, tomato, red onion, cilantro, avocado, tajin and croutons.",9,0
Paneer Pakora,Homemade cheese dipped in chickpea batter and deep-fried. Six to eight pieces per plate.,6.95,0
Chocolate OREOÂ® Shake,"A spin on our classic OREOÂ® Shake, the OREOÂ® Chocolate Shake is a smooth shake made with velvety vanilla soft serve and blended with OREOÂ® cookie pieces and chocolate sauce. OREOÂ® and the OREOÂ® Wafer Design are registered trademarks of Mondelez International group, used under license.",3.19,0
Wonton Soup,,0,0
Side Salad,"Spring mix, cheese and tomatoes.",3.5,0
Bottled Water,,1.99,0
Two Liter Soda,,3.5,0
Paneer Pakora,Traditional cow's milk cheese in a spiced batter. Served with chutney. Prepared in a light canola oil.,4.25,0
G6. T.N.T Roll,"Spicy tuna/Tempura flakes/white tuna, avocado on top.",12.95,0
Beef Fajita Salad,"Served with lettuce, tomatoes and cheese.",9.95,0
"Turkey Burger, small fries, med soda",,7.52,1
Sherwood Royal Blend Coffee,,0,0
Chicken Quesadilla,"An extra flour tortilla filled with melty three-cheese blend, fire grilled chicken, creamy jalapeÃ±o sauce folded and grilled to perfection.",3.69,0
Grilled Chicken Caesar Salad,,5.5,0
Italian Chop Salad Tray,"Chopped iceberg lettuce, sliced provolone, Genoa salami, roasted red pepper, cucumber, garbanzo beans and black olives with Italian dressing.",45.95,0
Jasmine Green Tea,,2.95,0
Garlic Bread,Nine thick slices topped with garlic and herb butter. Vegetarian. Serves four to six.,14.95,0
Sauteed Escarole,,6.95,0
Beer-Battered Onion Rings,,3.99,0
Family Style Bean Curd (spicy),Fried bean curd with hot garlic sauce.,7.5,0
Strawberry and Spinach Summer Salad,"Goat cheese, pomegranate seeds and sliced almonds, tossed in a strawberry poppy seed vinaigrette. Gluten free.",12,0
Bottled Soda,,1.9,0
09. Eel,Unagi.,3.25,1
Shrimp Cocktail,Served with wasabi-cocktail sauce.,15,0
Philly Cheese Steak,"Beef, onions, mayonnaise, American cheese.",5.61,1
FRIED SYRIAN CHEESE 3pcs,"Larger chunks of Syrian cheese deep fried, garnished with parsley, tomatoes and pickles.",6.99,0
Chicken Fried Rice,,7.99,0
Tapioca Kheer,Rich and creamy with tapioca served cool with almonds and pistachios.,3.25,0
Oriental Chicken Salad,"A long-running favorite, crispy breaded chicken tenders top a bed of fresh Asian greens, rice noodles and almonds tossed in our Oriental vinaigrette.",11.59,0
Sweet Onion Chicken Teriyaki Chopped Salad,This gourmet specialty is a flavorful blend of tender teriyaki glazed chicken strips and our own fat-free sweet onion sauce.,8.49,0
Chicken Avocado Salad,"Fresh lettuce, chicken breast, avocado, tomato, onion, mozzarella cheese, black olives and your choice of dressing.",8.95,0
Iced Tea,,2.99,0
